District/Year,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,,,,,,,,,,,,,,,,,,,,,,
Gurdaspur,195,195,195,195,195,195,195,194,194,184,194,194,194,194,194,194,194,194,194,194,194,193,192,192,192,190,182,155,129,104,73,67,NA,53,52,NA,NA,35,34,33,32,,,,,,,,,,,,,,,,,,,,,,
Pathankot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,
Amritsar,154,154,250,251,251,251,251,252,252,252,252,252,252,252,252,252,251,249,249,245,244,242,242,242,241,237,232,205,183,135,99,91,NA,82,68,NA,NA,52,52,50,48,,,,,,,,,,,,,,,,,,,,,,
Tarn Taran,96,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,
Kapurthala,80,80,80,82,82,82,82,82,82,82,82,82,82,82,82,82,82,81,81,81,81,81,81,81,81,80,79,76,67,61,43,39,NA,35,34,NA,NA,21,21,21,21,,,,,,,,,,,,,,,,,,,,,,
Jalandhar,175,175,175,175,175,175,175,157,157,157,157,157,157,216,216,216,216,214,214,212,212,211,209,209,208,204,199,176,149,130,87,69,NA,58,52,NA,NA,34,32,32,31,,,,,,,,,,,,,,,,,,,,,,
SBS Nagar,77,77,76,79,79,79,79,75,75,75,75,75,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,
Hoshiarpur,154,154,155,155,155,155,155,164,164,164,164,164,164,178,178,178,181,181,181,177,176,175,175,175,174,169,163,139,128,97,63,57,NA,52,53,NA,NA,30,30,27,26,,,,,,,,,,,,,,,,,,,,,,
Rupnagar,64,64,115,116,116,116,116,118,118,118,118,118,118,117,117,117,114,114,114,112,112,109,108,108,107,106,104,91,76,67,43,41,NA,36,37,NA,NA,19,19,19,17,,,,,,,,,,,,,,,,,,,,,,
SAS Nagar,71,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,
Ludhiana,189,189,189,190,190,190,190,190,190,190,190,190,190,190,190,190,199,198,198,196,194,192,191,191,190,187,183,166,134,101,64,51,NA,45,46,NA,NA,30,30,29,27,,,,,,,,,,,,,,,,,,,,,,
Ferozpur,144,144,144,146,146,146,146,159,159,159,159,159,159,158,158,158,158,158,158,158,158,157,157,157,157,155,150,133,117,87,66,53,NA,45,41,NA,NA,54,55,50,46,,,,,,,,,,,,,,,,,,,,,,
